Description|from_url|to_url|flags
No description|^(?i)tos-read/?$|https://info.classicalconversations.com/tos-read-summer-2020| [R=302, L]|
No description|^(?i)idaho-community/?$|https://info.classicalconversations.com/idaho-community| [R=302, L]|
No description|^(?i)afhe-community/?$|https://info.classicalconversations.com/afhe-community| [R=302, L]|
No description|^(?i)explorers/?$|https://info.classicalconversations.com/explorers| [R=302, L]|
No description|^(?i)afhe-homeschool/?$|https://info.classicalconversations.com/afhe-homeschooling||
No description|^(?i)hslda-discount/?$|https://membership.hslda.org/?GiftMembershipCode=CCP19ANSNB| [R=302, L]|
No description|^(?i)fall2020/?$|https://info.classicalconversations.com/fall2020| [R=302, L]|
No description|^(?i)nche/?$|https://info.classicalconversations.com/nche| [R=302, L]|
No description|^(?i)host/?$|https://info.classicalconversations.com/churchesandpastorappreciation| [R=302, L]|
No description|^(?i)new-fl/?$|https://info.classicalconversations.com/new-fl| [R=302, L]|
No description|^(?i)ccc/?$|https://info.classicalconversations.com/ccconnected-e-zine| [R=302, L]|
No description|^(?i)heav-conf/?$|https://info.classicalconversations.com/heav-conference| [R=302, L]|
No description|^(?i)liberty/?$|https://info.classicalconversations.com/liberty| [R=302, L]|
No description|^(?i)fireside/?$|https://info.classicalconversations.com/fireside| [R=302, L]|
No description|^(?i)enough/?$|https://vimeo.com/455974497/972f6b039a| [R=302, L]|
No description|^(?i)alldone/?$|https://vimeo.com/455974819/f96fba236d| [R=302, L]|
No description|^(?i)unique/?$|https://vimeo.com/455974412/39936f2dad| [R=302, L]|
No description|^(?i)messup/?$|https://vimeo.com/455974371/58bb51fe6b||
No description|^(?i)working/?$|https://vimeo.com/455974215/fd38898874| [R=302, L]|
No description|^(?i)ezine/?$|https://classicalconversations.com/ccc| [R=302, L]|
No description|^(?i)fightlaugh/?$|https://info.classicalconversations.com/fightlaugh| [R=302, L]|
No description|^(?i)calendar/?$|https://classicalconversations.com/events/| [R=302, L]|
No description|^(?i)hts/?$|https://homeschooltestingservices.com/| [R=302, L]|
No description|^(?i)nmm/?$|https://classicalconversations.com/national-memory-master-competition/| [R=302, L]|
No description|^(?i)memorymaster/?$|https://classicalconversations.com/national-memory-master-competition/| [R=302, L]|
No description|^(?i)WhyStudyLatin/?$|https://www.youtube.com/watch?v=DmBahbIkkB4&feature=youtu.be| [R=302, L]|
No description|^(?i)church/?$|https://info.classicalconversations.com/churchesandpastorappreciation| [R=302, L]|
No description|^(?i)n2k/?$|https://nationalnumberknockout.com/| [R=302, L]|
No description|^(?i)hsc/?$|https://www.homeschoolcounselor.net/| [R=302, L]|
No description|^(?i)book-club/?$|https://members.classicalconversations.com/classical/classical-education/cc-podcast-channel/book-club-podcast-channel| [R=302, L]|
No description|^(?i)ccconnected/?$|https://members.classicalconversations.com/connected| [R=302, L]|
No description|^(?i)ccplus/?$|https://classicalconversationsplus.com/| [R=302, L]|
No description|^(?i)catalog/?$|https://classicalconversationsbooks.com/pages/2023-shoppable-catalog| [R=302, L]|
No description|^(?i)ee/?$|https://members.classicalconversations.com/EverydayEducator| [R=302, L]|
No description|^(?i)youtube/?$|https://www.youtube.com/user/ClassicalConv| [R=302, L]|
No description|^(?i)newsletter/?$|https://info.classicalconversations.com/parent-newsletters| [R=302, L]|
No description|^(?i)liberty6mo/?$|https://info.classicalconversations.com/liberty6mo| [R=302, L]|
No description|^(?i)social/?$|https://vimeo.com/455974589/2c43ecaa66||
No description|^(?i)dadsguide/?$|https://classicalconversationsbooks.com/products/dads-guide-to-classical-education| [R=302, L]|
No description|^(?i)pnwc2020/?$|https://info.classicalconversations.com/pnwc2020||
No description|^(?i)protocol/?$|https://classicalconversations.com/what-is-protocol/||
No description|^(?i)testimony/?$|https://vimeo.com/455974589/2c43ecaa66| [R=302, L]|
No description|^(?i)celebration/?$|https://members.classicalconversations.com/capstonecruise||
No description|^(?i)summit/?$|https://info.classicalconversations.com/summit||
No description|^(?i)bethepeople/?$|https://info.classicalconversations.com/bethepeople||
No description|^(?i)bethepeople2/?$|https://info.classicalconversations.com/bethepeople2| [R=302, L]|
No description|^(?i)bethepeople3/?$|https://info.classicalconversations.com/bethepeople3| [R=302, L]|
No description|^(?i)bethepeople4/?$|https://info.classicalconversations.com/bethepeople4| [R=302, L]|
No description|^(?i)bethepeople-radio/?$|https://info.classicalconversations.com/bethepeople-radio| [R=302, L]|
No description|^(?i)heav-nov2020/?$|https://info.classicalconversations.com/heav-nov2020||
No description|^(?i)e5/?$|https://info.classicalconversations.com/e5| [R=302, L]|
No description|^(?i)leadership/?$|https://info.classicalconversations.com/directing| [R=302, L]|
No description|^(?i)hslda2021/?$|https://info.classicalconversations.com/hslda2021| [R=302, L]|
No description|^(?i)star991/?$|https://info.classicalconversations.com/star991| [R=302, L]|
No description|^(?i)homeschooling-internationally/?$|https://ccinternationalonline.com/| [R=302, L]|
No description|^(?i)fpea2020/?$|https://info.classicalconversations.com/fpea2020| [R=302, L]|
No description|^(?i)online-information-meetings/?$|https://members.classicalconversations.com/global-event-listing| [R=302, L]|
No description|^(?i)heav-jan2021/?$|https://info.classicalconversations.com/heav-jan2021| [R=302, L]|
No description|^(?i)piercingword/?$|https://info.classicalconversations.com/piercingword| [R=302, L]|
No description|^(?i)oldschoolhouse/?$|https://info.classicalconversations.com/oldschoolhouse| [R=302, L]|
No description|^(?i)ohio/?$|https://info.classicalconversations.com/ohio| [R=302, L]|
No description|^(?i)kentucky/?$|http://info.classicalconversations.com/kentucky| [R=302, L]|
No description|^(?i)texas/?$|http://info.classicalconversations.com/texas| [R=302, L]|
No description|^(?i)michigan/?$|http://info.classicalconversations.com/michigan| [R=302, L]|
No description|^(?i)indiana/?$|http://info.classicalconversations.com/indiana| [R=302, L]|
No description|^(?i)heav-feb2021/?$|http://info.classicalconversations.com/heav-feb2021| [R=302, L]|
No description|^(?i)tl-usa/?$|https://info.classicalconversations.com/tl-usa| [R=302, L]|
No description|^(?i)2021fpea/?$|https://info.classicalconversations.com/2021fpea| [R=302, L]|
No description|^(?i)ahg/?$|https://info.classicalconversations.com/ahg| [R=302, L]|
No description|^(?i)ca-capitol-day/?$|https://info.classicalconversations.com/chea-fpm-leadership-director| [R=302, L]|
No description|^(?i)wte-balletmagnificat/?$|https://info.classicalconversations.com/wte-balletmagnificat| [R=302, L]|
No description|^(?i)ah-girls/?$|https://info.classicalconversations.com/ah-girls| [R=302, L]|
No description|^(?i)kids-country/?$|https://info.classicalconversations.com/kids-country| [R=302, L]|
No description|^(?i)equips/?$|https://info.classicalconversations.com/equips| [R=302, L]|
No description|^(?i)2021-TTD/?$|https://info.classicalconversations.com/2021-ttd| [R=302, L]|
No description|^(?i)2021-GHC/?$|https://info.classicalconversations.com/2021-ghc| [R=302, L]|
No description|^(?i)christian-heritage/?$|https://info.classicalconversations.com/christian-heritage| [R=302, L]|
No description|^(?i)ccf/?$|https://info.classicalconversations.com/ccf| [R=302, L]|
No description|^(?i)hslda-cr/?$|https://info.classicalconversations.com/hslda-cr| [R=302, L]|
No description|^(?i)afhe/?$|http://info.classicalconversations.com/afhe| [R=302, L]|
No description|^(?i)ttd-nashville-tn/?$|https://info.classicalconversations.com/ttd-nashville-tn| [R=302, L]|
No description|^(?i)sidneysun/?$|https://info.classicalconversations.com/sidneysun| [R=302, L]|
